"nome","naz","team","tempo.1","tempo.2","tempo.3","tempo.4","tempo.5","tempo.6","tempo.7","tempo.8","tempo.9","tempo.10","tempo.11","tempo.12","tempo.13","tempo.14","tempo.15","tempo.16","tempo.17","tempo.18","tempo.19","tempo.20","tempo.21"
"BRAMBILLA Gianluca","ITA","OPQ",1487,20282,36416,44942,63750,87660,106625,123927,139999,154548,175445,179012,192063,209344,229964,248514,266141,284088,288610,306011,321858
"CANOLA Marco","ITA","BAR",1549,20344,36478,45004,63859,88955,107920,127246,144474,159300,180444,184327,197355,215473,237257,256859,273578,292887,297609,316037,331875
"CAPECCHI Eros","ITA","MOV",1537,20332,36466,44992,64468,88386,107351,125930,142483,157234,178785,182702,195850,213029,234710,253560,271187,289536,294122,311964,327830
"CARDOSO Andre Fernando S","POR","GRS",1839,20634,36768,45294,64266,88184,107149,124643,140861,155395,176292,180218,193269,210044,NA,NA,NA,NA,NA,NA,NA
"CARRETERO Ramon","PAN","NRI",1844,20858,37800,46379,66710,91373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARUSO Giampaolo","ITA","KAT",1797,20592,36726,45252,64141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASTROVIEJO Jonathan","ESP","MOV",1667,20462,36596,45122,64598,89751,108716,126806,143359,157832,178729,182710,195862,212847,233853,252703,270330,287985,292724,310118,325965
"CATALDO Dario","ITA","SKY",1517,20312,36446,44972,63732,87650,106615,125194,141213,155686,177457,181054,194105,210580,231723,249328,266955,284465,288652,305711,321558
"CATTANEO Mattia","ITA","LAM",1615,20410,36544,45070,64201,88930,107895,125741,142620,157371,179352,183029,196202,212716,233859,252709,270336,289251,293516,310590,326546
"CECCHINEL Giorgio","ITA","NRI",1543,20414,36739,45265,64919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHALAPUD GOMEZ Robinson E.","COL","COL",1759,20554,36688,45214,64531,88413,107375,125851,143151,157902,178799,182770,196207,213192,234335,253185,270812,290121,294713,311734,327681
"CHAVANEL S̩bastien","FRA","FDJ",1745,20540,36674,45200,64847,89576,108541,127867,145167,159640,181621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICCHI Francesco","ITA","NRI",1543,20335,36458,44984,64631,89294,108259,127585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLBRELLI Sonny","ITA","BAR",1549,20341,36464,44990,63789,88063,107028,126067,143274,157747,179518,183437,196488,214292,235435,254763,272390,291254,295577,313681,329519
"COLLI Daniele","ITA","NRI",1630,20425,36548,45074,64721,89450,108415,127741,145041,159514,181495,185419,198470,216875,238652,NA,NA,NA,NA,NA,NA
"COURTEILLE Arnaud","FRA","FDJ",1745,20540,36865,45391,65722,90451,109682,129008,146308,161244,183225,187190,200548,218953,240737,NA,NA,NA,NA,NA,NA
"CUNEGO Damiano","ITA","LAM",1562,20357,36491,45017,63777,87687,106652,124117,140169,154642,175539,179177,192228,209003,229584,248434,265158,283046,287373,304787,320634
"DE BACKER Bert","BEL","GIA",1683,20478,36651,45177,64653,89056,108021,127347,144554,159027,181008,184934,198063,216181,237965,257293,274920,293937,298802,317022,332869
"DE GENDT Thomas","BEL","OPQ",1504,20299,36433,44959,64090,88530,107495,125759,142966,157792,179773,183354,196631,214276,235589,254135,270825,288313,292641,310701,326567
"DE HAES Kenny","BEL","LTB",1814,20609,36732,45258,64905,89906,109688,129014,146314,160787,182768,186811,199940,218345,240038,259640,277267,296131,NA,NA,NA
"DEIGNAN Philip","IRL","SKY",1517,20312,36446,44972,64289,88573,107538,126117,142670,157143,178914,182774,195864,212639,232698,251248,267967,285391,289714,308137,324141
"DEKKER Thomas","NED","GRS",1688,20483,36617,45143,64369,88505,107470,126796,143675,158350,180331,184276,197327,215445,236588,NA,NA,NA,NA,NA,NA
"DOCKER Mitchell","AUS","OGE",1755,20550,36748,45274,65025,89572,108537,127863,145163,159636,181617,185516,198977,217382,NA,NA,NA,NA,NA,NA,NA
"DOCKX Gert","BEL","LTB",1807,20602,36922,45448,64840,89327,108497,127536,144743,159216,180987,184907,198019,215818,237465,256793,274420,292887,297704,315466,331382
