cod.municipio,homicidios12,homicidios13,poblacion12,poblacion13,tasa.homicidios12,tasa.homicidios13
50226,4,3,17623,17756,0.23,0.17
50245,0,0,2259,2256,0.00,0.00
50251,2,13,6528,6468,0.31,2.01
50270,0,0,3397,3409,0.00,0.00
50287,6,3,12604,12824,0.48,0.23
50313,39,27,58503,59739,0.67,0.45
50318,10,3,9241,9282,1.08,0.32
50325,6,8,15978,16389,0.38,0.49
50330,7,6,11096,11160,0.63,0.54
50350,8,20,30117,31015,0.27,0.64
50370,26,12,15012,15386,1.73,0.78
50400,8,10,9478,9455,0.84,1.06
50450,6,9,19317,19827,0.31,0.45
50568,37,13,18207,18325,2.03,0.71
50573,17,15,32108,32552,0.53,0.46
50577,6,6,10136,10037,0.59,0.60
50590,6,11,18309,18418,0.33,0.60
50606,2,2,10511,10544,0.19,0.19
50680,3,0,8584,8903,0.35,0.00
50683,1,3,8948,8911,0.11,0.34
50686,0,0,2078,2105,0.00,0.00
50689,13,7,23694,24028,0.55,0.29
50711,50,13,24154,24586,2.07,0.53
52001,89,108,423217,428890,0.21,0.25
52019,0,0,21270,21558,0.00,0.00
52022,0,1,6320,6236,0.00,0.16
52036,6,1,7607,7424,0.79,0.13
52051,3,2,7523,7533,0.40,0.27
52079,18,19,35406,36214,0.51,0.52
52083,3,1,7230,7323,0.41,0.14
52110,4,4,24179,24466,0.17,0.16
52203,4,5,10005,10052,0.40,0.50
52207,1,2,9674,9582,0.10,0.21
52210,2,4,6875,6896,0.29,0.58
52215,3,3,13889,13932,0.22,0.22
52224,2,1,8447,8495,0.24,0.12
52227,2,6,35540,36224,0.06,0.17
52233,2,3,13982,14385,0.14,0.21
52240,2,1,13504,13606,0.15,0.07
52250,8,7,33085,34300,0.24,0.20
52254,0,3,6616,6581,0.00,0.46
52256,5,3,10575,10455,0.47,0.29
52258,1,5,13122,13003,0.08,0.38
52260,2,3,12817,12638,0.16,0.24
52287,3,0,6645,6593,0.45,0.00
52317,2,0,16029,15912,0.12,0.00
52320,3,0,12498,12335,0.24,0.00
52323,1,1,5747,5754,0.17,0.17
52352,0,1,8435,8519,0.00,0.12
52354,2,0,6598,6483,0.30,0.00
52356,42,30,129362,132438,0.32,0.23
52378,2,3,18100,18145,0.11,0.17
52381,2,3,9953,9805,0.20,0.31
52385,0,3,6045,5970,0.00,0.50
52390,2,2,11130,11591,0.18,0.17
52399,17,22,26639,26456,0.64,0.83
52405,9,18,13252,13449,0.68,1.34
52411,4,5,10572,10394,0.38,0.48
52418,3,4,18403,18738,0.16,0.21
52427,2,3,20435,21086,0.10,0.14
52435,7,2,8190,8044,0.85,0.25
52473,0,0,14874,15328,0.00,0.00
52480,0,1,4657,4725,0.00,0.21
52490,11,11,30081,30456,0.37,0.36
52506,0,0,8590,8640,0.00,0.00
52520,3,4,13723,14143,0.22,0.28
52540,21,19,15889,16204,1.32,1.17
52560,2,3,12425,12332,0.16,0.24
52565,3,2,12796,12955,0.23,0.15
52573,3,1,8570,8520,0.35,0.12
52585,11,5,19122,19223,0.58,0.26
52612,7,3,17475,17862,0.40,0.17
52621,4,10,20725,21332,0.19,0.47
52678,21,31,49816,49726,0.42,0.62
52683,7,2,25588,25624,0.27,0.08
52685,0,1,17624,18146,0.00,0.06
52687,2,1,19409,19546,0.10,0.05
52693,3,2,17712,17640,0.17,0.11
52694,0,0,7392,7447,0.00,0.00
52696,1,3,14937,14878,0.07,0.20
52699,5,3,25679,26489,0.19,0.11
52720,1,0,6681,6575,0.15,0.00
52786,10,10,19468,19819,0.51,0.50
52788,1,1,10003,9878,0.10,0.10
52835,244,220,187084,191218,1.30,1.15
52838,11,5,40881,40792,0.27,0.12
52885,2,2,10678,10779,0.19,0.19
54001,330,267,630971,637302,0.52,0.42
54003,6,14,36929,37279,0.16,0.38
54051,4,1,9036,9017,0.44,0.11
54099,2,1,6849,6896,0.29,0.15
54109,0,0,4565,4569,0.00,0.00
54125,0,0,2101,2045,0.00,0.00
54128,2,1,10856,10894,0.18,0.09
54172,1,1,15858,16020,0.06,0.06
54174,0,3,10317,10335,0.00,0.29
54206,21,19,14393,14107,1.46,1.35
54223,0,2,7882,7816,0.00,0.26
54239,1,1,3889,3845,0.26,0.26
54245,6,14,14675,14453,0.41,0.97
54250,9,7,10881,10900,0.83,0.64
54261,21,21,22040,22305,0.95,0.94
54313,0,1,5779,5705,0.00,0.18
54344,6,6,10473,10532,0.57,0.57
54347,0,0,4176,4135,0.00,0.00
54377,0,0,5848,5853,0.00,0.00
54385,3,3,11674,11790,0.26,0.25
54398,0,2,8516,8527,0.00,0.23
54405,29,26,73701,74640,0.39,0.35
54418,0,0,3383,3378,0.00,0.00
54480,0,0,3800,3796,0.00,0.00
54498,25,35,95958,96723,0.26,0.36
54518,2,3,56153,56569,0.04,0.05
54520,1,0,4892,4905,0.20,0.00
54553,20,3,9767,9933,2.05,0.30
54599,0,1,6869,6877,0.00,0.15
54660,0,0,9082,9046,0.00,0.00
54670,3,5,13187,13292,0.23,0.38
54673,2,0,5116,5222,0.39,0.00
54680,1,0,2783,2799,0.36,0.00
54720,8,9,22666,22655,0.35,0.40
54743,1,1,4706,4615,0.21,0.22
54800,22,13,20216,20638,1.09,0.63
54810,38,24,35909,36105,1.06,0.66
54820,1,6,17279,17280,0.06,0.35
54871,1,0,5152,5166,0.19,0.00
54874,51,34,82450,84414,0.62,0.40
63001,80,91,292045,293605,0.27,0.31
63111,1,1,2911,2886,0.34,0.35
63130,22,49,76415,76819,0.29,0.64
63190,20,26,29150,29393,0.69,0.88
63212,1,0,5345,5325,0.19,0.00
63272,6,3,13255,13310,0.45,0.23
63302,4,2,8380,8225,0.48,0.24
63401,12,17,39338,40247,0.31,0.42
63470,24,37,40871,41010,0.59,0.90
63548,4,5,6300,6243,0.63,0.80
63594,16,14,34687,34777,0.46,0.40
63690,2,3,7139,7129,0.28,0.42
66001,165,181,462209,464719,0.36,0.39
66045,10,2,18540,18692,0.54,0.11
